positiv,komparativ,superlativ
hepatotoxisch,—,—
aktiv,aktiver,am aktivsten
deklaratorisch,—,—
samstäglich,—,—
politikverdrossen,politikverdrossener,am politikverdrossensten
unhistorisch,unhistorischer,am unhistorischsten
strikt,strikter,am striktesten
überschäumend,—,—
undestillierbar,—,—
genussreich,genussreicher,am genussreichsten
entfremdet,—,—
autoptisch,—,—
respektvoll,respektvoller,am respektvollsten
weltpolitisch,—,—
ipsativ,—,—
nautisch,—,—
grellfarben,—,—
exzellent,exzellenter,am exzellentesten
bekehrbar,—,—
städtebaulich,—,—
viral,—,—
prototypisch,prototypischer,am prototypischsten
zehnwöchig,—,—
altsteinzeitlich,—,—
maßgebend,maßgebender,am maßgebendsten
selbstisch,selbstischer,am selbstischsten
breitbeinig,breitbeiniger,am breitbeinigsten
abdikativ,—,—
mutmaßlich,—,—
linksseitig,—,—
unverständig,unverständiger,am unverständigsten
phantastisch,phantastischer,am phantastischsten
standrechtlich,—,—
unermesslich,unermesslicher,am unermesslichsten
miesepetrig,miesepetriger,am miesepetrigsten
dickbäuchig,dickbäuchiger,am dickbäuchigsten
kontrastiv,—,—
tugendhaft,tugendhafter,am tugendhaftesten
feierlich,feierlicher,am feierlichsten
einlässlich,einlässlicher,am einlässlichsten
kasachisch,—,—
aphoristisch,aphoristischer,am aphoristischsten
einflussreich,einflussreicher,am einflussreichsten
wurzellos,—,—
rechtschreiblich,—,—
taktil,taktiler,am taktilsten
kross,krosser,am krossesten
erfüllbar,—,—
treuherzig,treuherziger,am treuherzigsten
realitätsnah,realitätsnäher,am realitätsnächsten
bewegt,bewegter,am bewegtesten
flachsfarben,—,—
eigentümlich,eigentümlicher,am eigentümlichsten
kriegsversehrt,—,—
weinfarben,—,—
runisch,—,—
posthistorisch,—,—
superprovisorisch,—,—
rückwärtsgewandt,rückwärtsgewandter,am rückwärtsgewandtesten
bakteriostatisch,—,—
ersatzlos,—,—
kiebig,kiebiger,am kiebigsten
assimiliert,—,—
pflegebedürftig,pflegebedürftiger,am pflegebedürftigsten
seeklar,—,—
charismatisch,charismatischer,am charismatischsten
metastabil,—,—
alarmbereit,—,—
verwittert,verwitterter,am verwittertsten
nymphomanisch,—,—
zwiefach,—,—
obliviös,obliviöser,am obliviösesten
spanisch,spanischer,am spanischsten
ungeeignet,ungeeigneter,am ungeeignetsten
zystisch,—,—
diskutierbar,—,—
mürbe,mürber,am mürbsten
grundlegend,grundlegender,am grundlegendsten
ledern,—,—
hauchzart,hauchzarter,am hauchzartesten
antiseptisch,—,—
lohnenswert,lohnenswerter,am lohnenswertesten
achtsam,achtsamer,am achtsamsten
scheiße,—,—
schutzbedürftig,schutzbedürftiger,am schutzbedürftigsten
philosophisch,philosophischer,am philosophischsten
unsachlich,unsachlicher,am unsachlichsten
schottisch,schottischer,am schottischsten
händeringend,händeringender,am händeringendsten
adverbiell,—,—
missmutig,missmutiger,am missmutigsten
frischgebacken,—,—
bodentief,—,—
sorgenfrei,—,—
orthographisch,—,—
verfassungskräftig,—,—
jugendhaft,jugendhafter,am jugendhaftesten
kulant,kulanter,am kulantesten
gleichfarbig,—,—
beerenförmig,—,—
verärgert,verärgerter,am verärgertsten
preisintensiv,preisintensiver,am preisintensivsten
zitierbar,—,—
unbeugsam,unbeugsamer,am unbeugsamsten
subphrenisch,—,—
unbekömmlich,unbekömmlicher,am unbekömmlichsten
kniefrei,—,—
gelassen,gelassenergelassner,am gelassensten
ausgelutscht,ausgelutschter,am ausgelutschtesten
regenreich,regenreicher,am regenreichsten
willenlos,willenloser,am willenlosesten
torffrei,—,—
beleidigend,beleidigender,am beleidigendsten
vollfett,—,—
präsumtiv,präsumtiver,am präsumtivsten
zellulär,—,—
trabig,trabiger,am trabigsten
isotherm,—,—
grippekrank,—,—
auslaufsicher,auslaufsichererauslaufsichrer,am auslaufsichersten
auswertbar,—,—
rektangulär,—,—
weitverbreitet,weitverbreiteter,am weitverbreitetsten
genant,genanter,am genantesten
sauerstoffarm,sauerstoffärmer,am sauerstoffärmsten
pomadig,pomadiger,am pomadigsten
unliniert,—,—
sozialutopisch,—,—
herzlich,herzlicher,am herzlichsten
bildungshungrig,bildungshungriger,am bildungshungrigsten
4-prozentig,—,—
anwesend,—,—
ovoid,—,—
ureigen,ureigener,am ureigensten
ignorant,ignoranter,am ignorantesten
süddeutsch,süddeutscher,am süddeutschesten
wasserhaltig,—,—
polyurisch,—,—
erbrechtlich,—,—
fußballverrückt,fußballverrückter,am fußballverrücktesten
kanadisch,kanadischer,am kanadischsten
aragonesisch,—,—
ultraviolett,—,—
zahnarztmäßig,zahnarztmäßiger,am zahnarztmäßigsten
fetthältig,—,—
einstufig,—,—
geschlechterspezifisch,—,—
korrigierbar,—,—
wahrheitsgetreu,wahrheitsgetreuer,am wahrheitsgetreustenam wahrheitsgetreuesten
saisonal,—,—
prosozial,prosozialer,am prosozialsten
versiegbar,—,—
spülmaschinenfest,—,—
uneigentlich,uneigentlicher,am uneigentlichsten
diagnostisch,—,—
multiplikativ,—,—
industriell,—,—
abgebrüht,abgebrühter,am abgebrühtesten
liebenswert,liebenswerter,am liebenswertesten
unüberbrückbar,unüberbrückbarer,am unüberbrückbarsten
sensationell,sensationeller,am sensationellsten
brunftig,brunftiger,am brunftigsten
mehlig,mehliger,am mehligsten
hochansteckend,—,—
altfränkisch,—,—
versandbereit,—,—
omniszient,—,—
öffentlich,öffentlicher,am öffentlichsten
buddhistisch,—,—
nagelneu,nagelneuer,am nagelneuestenam nagelneusten
leichtfüßig,leichtfüßiger,am leichtfüßigsten
urbanophil,—,—
pazifistisch,pazifistischer,am pazifistischsten
spießförmig,—,—
ungeordnet,ungeordneter,am ungeordnetsten
domänenspezifisch,—,—
allelopathisch,—,—
meldungspflichtig,—,—
schwül,schwüler,am schwülsten
bustrophedon,—,—
fickrig,fickriger,am fickrigsten
kirchgenössig,—,—
aromatisiert,aromatisierter,am aromatisiertesten
zartbesaitet,zartbesaiteterzarter besaitet,am zartbesaitetstenam zartesten besaitet
radikal,radikaler,am radikalsten
sympathetisch,—,—
erwartbar,erwartbarer,am erwartbarsten
kredibel,kredibler,am kredibelsten
transitiv,—,—
finanziert,—,—
egalitär,egalitärer,am egalitärsten
regierungskritisch,regierungskritischer,am regierungskritischsten
Wiesbadener,—,—
ausdrücklich,ausdrücklicher,am ausdrücklichsten
großspurig,großspuriger,am großspurigsten
geistsprühend,geistsprühender,am geistsprühendsten
unbeholfen,unbeholfenerunbeholfner,am unbeholfensten
sudetendeutsch,—,—
potenzsteigernd,potenzsteigernder,am potenzsteigerndsten
zivilisatorisch,—,—
verwöhnt,verwöhnter,am verwöhntesten
befallen,—,—
gleichnamig,—,—
jihadistisch,—,—
organspezifisch,—,—
verflixt,verflixter,am verflixtesten
heutig,—,—
blättrig,blättriger,am blättrigsten
höchstrangig,—,—
schriftstellerisch,—,—
phonetisch,—,—
unrechtmäßig,unrechtmäßiger,am unrechtmäßigsten
schaurig,schauriger,am schaurigsten
achtwertig,—,—
harsch,harscher,am harschestenam harschsten
illusorisch,illusorischer,am illusorischsten
-,-,-
urschriftlich,—,—
5-minütig,—,—
dunkel,dunklerdünkler,am dunkelsten
antistatisch,—,—
bildlich,bildlicher,am bildlichsten
herzgeliebt,—,—
sorgenlos,sorgenloser,am sorgenlosesten
porenfrei,porenfreier,am porenfreiesten
unleserlich,unleserlicher,am unleserlichsten
saudi-arabisch,—,—
denkwürdig,denkwürdiger,am denkwürdigsten
gemäßigt,gemäßigter,am gemäßigtsten
überglücklich,überglücklicher,am überglücklichsten
religionspolitisch,—,—
weitreichend,weitreichender,am weitreichendsten
australisch,australischer,am australischsten
endothym,—,—
grotesk,grotesker,am groteskesten
neritisch,—,—
isochron,—,—
traditionsbewusst,traditionsbewusster,am traditionsbewusstesten
präprandial,—,—
zeremoniös,zeremoniöser,am zeremoniösesten
volksmäßig,—,—
subperiostal,—,—
-,-,-
fahrbar,—,—
öd,öder,am ödesten
verschissen,verschissener,am verschissensten
omanisch,omanischer,am omanischsten
mehrheitsfähig,—,—
alteingesessen,—,—
nasal,nasaler,am nasalsten
brutal,brutaler,am brutalsten
separat,—,—
liebeskrank,—,—
muffig,muffiger,am muffigsten
abgehalftert,—,—
deverbal,—,—
uneinholbar,—,—
spröde,spröder,am sprödesten
proppevoll,—,—
wahllos,—,—
salzfrei,—,—
koreanisch,koreanischer,am koreanischsten
eintägig,—,—
kleinasiatisch,—,—
fertig,fertiger,am fertigsten
U-förmig,—,—
arational,—,—
kantonesisch,kantonesischer,am kantonesischsten
erdbebengefährdet,erdbebengefährdeter,am erdbebengefährdetsten
südosteuropäisch,südosteuropäischer,am südosteuropäischsten
ehrerbietig,ehrerbietiger,am ehrerbietigsten
filterlos,—,—
betresst,—,—
rasch,rascher,am raschstenam raschesten
transgeschlechtlich,—,—
krebserregend,krebserregender,am krebserregendsten
erzböse,—,—
basaltig,—,—
sagenumwoben,—,—
synoptisch,—,—
zauberhaft,zauberhafter,am zauberhaftesten
quotal,—,—
artenreich,artenreicher,am artenreichsten
klanglich,—,—
bärenhaft,—,—
sechsfach,—,—
perlweiß,—,—
alleingehend,—,—
menschenverachtend,menschenverachtender,am menschenverachtendsten
dolent,—,—
äquidistant,—,—
ungeschminkt,ungeschminkter,am ungeschminktesten
spielfreundlich,spielfreundlicher,am spielfreundlichsten
oktroyiert,—,—
unüberschaubar,—,—
pejorativ,pejorativer,am pejorativsten
-,-,-
gutachterlich,—,—
nackig,—,—
lustlos,lustloser,am lustlosesten
heilfroh,—,—
anthropochor,—,—
sinnstiftend,—,—
pikiert,pikierter,am pikiertesten
unsympathisch,unsympathischer,am unsympathischsten
schweißnass,—,—
schlachtwarm,—,—
millionste,—,—
hydroponisch,—,—
agrobiologisch,—,—
oral,—,—
verboten,—,—
solar,—,—
anmutig,anmutiger,am anmutigsten
blind,blinder,am blindesten
freireligiös,—,—
goldführend,—,—
kurvig,kurviger,am kurvigsten
kackendreist,—,—
thorakal,—,—
underdressed,—,—
übersehbar,übersehbarer,am übersehbarsten
profitabel,profitabler,am profitabelsten
zugehörig,—,—
viermonatig,—,—
begrenzt,begrenzter,am begrenztesten
gehalten,—,—
kleinräumig,kleinräumiger,am kleinräumigsten
todmüde,—,—
rechtswidrig,rechtswidriger,am rechtswidrigsten
widerlich,widerlicher,am widerlichsten
aufschlussreich,aufschlussreicher,am aufschlussreichsten
proximal,—,—
zehnmonatlich,—,—
virulent,virulenter,am virulentesten
beinern,—,—
grausam,grausamer,am grausamsten
irisierend,—,—
resigniert,resignierter,am resigniertesten
wendig,wendiger,am wendigsten
autotypisch,—,—
kalligraphisch,—,—
genügend,—,—
behelfsmäßig,—,—
undurchschaubar,undurchschaubarer,am undurchschaubarsten
streng genommen,strenger genommen,am strengsten genommen
plötzlich,—,—
unhörbar,unhörbarer,am unhörbarsten
san-marinesisch,—,—
akribisch,akribischer,am akribischsten
heranwachsend,—,—
pandeistisch,—,—
vaginal,—,—
biowissenschaftlich,—,—
imperfektisch,—,—
schwimmend,—,—
erfreut,erfreuter,am erfreutesten
postfossil,—,—
weihnachtlich,weihnachtlicher,am weihnachtlichsten
tageshell,—,—
wundertoll,wundertoller,am wundertollsten
rechtsfehlerhaft,—,—
apfelartig,—,—
karpatendeutsch,—,—
fünfstöckig,—,—
einhäusig,—,—
feinmaschig,feinmaschiger,am feinmaschigsten
X-beinig,—,—
turkmenisch,—,—
konvivial,—,—
geringfügig,geringfügiger,am geringfügigsten
dienstunfähig,—,—
unerklärbar,—,—
statthaft,statthafter,am statthaftesten
vertrauenswürdig,vertrauenswürdiger,am vertrauenswürdigsten
unverwertbar,unverwertbarer,am unverwertbarsten
pfleglich,pfleglicher,am pfleglichsten
linkspopulistisch,linkspopulistischer,am linkspopulistischsten
inhärent,—,—
abaxial,—,—
mykenisch,—,—
brechbar,brechbarer,am brechbarsten
selbsterklärend,—,—
unwissenschaftlich,unwissenschaftlicher,am unwissenschaftlichsten
hinnehmbar,—,—
amaranten,—,—
mausgrau,—,—
lebenssatt,lebenssatter,am lebenssattesten
nabelfrei,—,—
disruptiv,—,—
ungastlich,ungastlicher,am ungastlichsten
sparsam,sparsamer,am sparsamsten
zwittrig,—,—
verwirrend,verwirrender,am verwirrendsten
dilatorisch,dilatorischer,am dilatorischsten
messingen,—,—
albern,alberner,am albernsten
liturgisch,—,—
cartesianisch,—,—
sechswöchentlich,—,—
asexuell,asexueller,am asexuellsten
keltiberisch,—,—
erogen,erogener,am erogensten
suggestiv,suggestiver,am suggestivsten
potentiell,—,—
weitentlegen,weitentlegener,am weitentlegensten
ruhig,ruhiger,am ruhigsten
erhöht,—,—
krimgotisch,—,—
eifrig,eifriger,am eifrigsten
flatulent,—,—
trichterförmig,trichterförmiger,am trichterförmigsten
belegt,—,—
fallsüchtig,—,—
unbarmherzig,unbarmherziger,am unbarmherzigsten
psychoakustisch,—,—
vorarlbergisch,vorarlbergischer,am vorarlbergischsten
subdural,—,—
wirklichkeitsfremd,wirklichkeitsfremder,am wirklichkeitsfremdesten
reizbar,reizbarer,am reizbarsten
lapidar,lapidarer,am lapidarsten
neuartig,—,—
irrig,irriger,am irrigsten
ausrottbar,—,—
engherzig,engherziger,am engherzigsten
tektonisch,—,—
reputabel,reputabler,am reputabelsten
überaktiv,—,—
kompatibilistisch,—,—
deprimierend,deprimierender,am deprimierendsten
postfrisch,postfrischer,am postfrischestenam postfrischsten
schnulzig,schnulziger,am schnulzigsten
verheerend,verheerender,am verheerendsten
ostensiv,ostensiver,am ostensivsten
marin,—,—
anaphorisch,—,—
dural,—,—
folgewidrig,—,—
siebenminütig,—,—
molekulargenetisch,—,—
achaten,—,—
anthropozentrisch,anthropozentrischer,am anthropozentrischsten
aalähnlich,—,—
lufttechnisch,—,—
computerlesbar,—,—
schuldig,schuldiger,am schuldigsten
unpassend,unpassender,am unpassendsten
potent,potenter,am potentesten
schamlos,schamloser,am schamlosesten
adhäsiv,—,—
misszufrieden,—,—
maschinenmäßig,maschinenmäßiger,am maschinenmäßigsten
dreizehnmalig,—,—
-,-,-
solenn,solenner,am solennsten
kulturalistisch,—,—
neusilbern,—,—
euploid,—,—
-,-,-
stier,stierer,am stiersten
zinnhaltig,—,—
puderig,—,—
vorfachlich,—,—
knüppeldick,—,—
laufstark,laufstärker,am laufstärksten
ellipsoid,—,—
tonganisch,—,—
leicht,leichter,am leichtesten
guttural,gutturaler,am gutturalsten
interterritorial,—,—
sichergestellt,—,—
züchtig,züchtiger,am züchtigsten
ungezogen,ungezogener,am ungezogensten
offenkundig,offenkundiger,am offenkundigsten
vernehmungsfähig,—,—
disziplinär,—,—
holographisch,—,—
perfektivisch,—,—
untersetzt,untersetzter,am untersetztesten
abhold,abholder,am abholdesten
burundisch,—,—
aseptisch,aseptischer,am aseptischsten
gebuckelt,—,—
umweltbewusst,umweltbewusster,am umweltbewusstesten
probat,probater,am probatesten
Saarbrücker,—,—
vorübergehend,—,—
ertrunken,—,—
baufällig,baufälliger,am baufälligsten
gewaltbereit,gewaltbereiter,am gewaltbereitesten
rahmig,rahmiger,am rahmigsten
wodkaselig,—,—
arm,ärmer,am ärmsten
fiebrig,fiebriger,am fiebrigsten
beträchtlich,beträchtlicher,am beträchtlichsten
protoalbanisch,—,—
rinden,—,—
waldensisch,—,—
avantgardistisch,avantgardistischer,am avantgardistischsten
fächergreifend,—,—
qualitativ,—,—
zach,zacher,am zachsten
beschwerlich,beschwerlicher,am beschwerlichsten
gefahrlos,gefahrloser,am gefahrlosesten
geschädigt,—,—
säumig,säumiger,am säumigsten
zwanzigmalig,—,—
nominal,—,—
verschroben,verschrobener,am verschrobensten
allumfassend,—,—
haftfähig,—,—
informativ,informativer,am informativsten
passioniert,passionierter,am passioniertesten
unwägbar,—,—
intransitiv,—,—
hochbetagt,—,—
ungut,—,—
sprachgewaltig,sprachgewaltiger,am sprachgewaltigsten
unterprivilegiert,unterprivilegierter,am unterprivilegiertesten
plattfüßig,—,—
schlüsselfertig,—,—
abnehmbar,—,—
deaktiviert,—,—
monothematisch,—,—
dysphorisch,—,—
2-tägig,—,—
fortwährend,—,—
silberglänzend,—,—
angepasst,angepasster,am angepasstesten
dekorativ,dekorativer,am dekorativsten
schmafu,—,—
zutreffend,zutreffender,am zutreffendsten
proteisch,proteischer,am proteischsten
übergroß,—,—
vietnamesisch,vietnamesischer,am vietnamesischsten
extramundan,—,—
konform,konformer,am konformsten
entgeltlich,—,—
nikotinsüchtig,—,—
terminal,—,—
-,-,-
nebelfeucht,—,—
fachunkundig,fachunkundiger,am fachunkundigsten
unangesehen,—,—
stromsparend,stromsparender,am stromsparendsten
ektropisch,—,—
tierlieb,tierlieber,am tierliebsten
wiederverwendbar,—,—
übrig,—,—
gegengleich,—,—
klippig,klippiger,am klippigsten
expert,—,—
unbezähmbar,—,—
zurückhaltend,zurückhaltender,am zurückhaltendsten
stoßartig,—,—
rezent,—,—
glutenfrei,—,—
kykladisch,—,—
niederschlagsarm,niederschlagsärmer,am niederschlagsärmsten
dreipfündig,—,—
blauweißrot,—,—
fresssüchtig,fresssüchtiger,am fresssüchtigsten
verehrt,verehrter,am verehrtesten
skeptisch,skeptischer,am skeptischsten
ministerial,—,—
hungrig,hungriger,am hungrigsten
affin,affiner,am affinsten
dandyhaft,dandyhafter,am dandyhaftesten
untergewichtig,—,—
schwarzbraun,—,—
schleppend,schleppender,am schleppendsten
veraltend,—,—
paraguayanisch,—,—
länglich,länglicher,am länglichsten
hedonistisch,hedonistischer,am hedonistischsten
anschaulich,anschaulicher,am anschaulichsten
raunzig,raunziger,am raunzigsten
wohlschmeckend,wohlschmeckender,am wohlschmeckendsten
